brand_name,property,city,room_type,available_contracts,run_time,instalment_id,name,academic_year,price,available,start_date,end_date,contract_length,weeks_remaining,base_hub_url,updated_at,pricing_updated_at
Prestige Student Living,26 Great George Street,Leeds,Premium Studio,5,2026-07-01T19:18:30Z,702,26 Great George Street - Premium Studio - 25/26 - 28/02 - 26wk 2026,2025 / 2026,259,true,2026-02-28,2026-08-29,26,8,https://prestige.hfs.bookings.basepms.com/?city=Leeds&property=26+Great+George+Street&roomType=Premium+Studio&tenancyLength=26+weeks&academicYear=2025+%2F+2026,2026-06-24T10:06:16.000000Z,
Prestige Student Living,26 Great George Street,Leeds,Premium Studio,5,2026-07-01T19:18:30Z,5054,26 Great George Street - Premium Studio - 25/26 - 28/02 - 21wk 2026,2025 / 2026,259,true,2026-02-28,2026-07-25,21,3,https://prestige.hfs.bookings.basepms.com/?city=Leeds&property=26+Great+George+Street&roomType=Premium+Studio&tenancyLength=21+weeks&academicYear=2025+%2F+2026,2026-06-24T10:06:16.000000Z,
Prestige Student Living,26 Great George Street,Leeds,Premium Studio,5,2026-07-01T19:18:30Z,703,26 Great George Street - Premium Studio - 26/27 - 12/09 - 51wk 2026,2026 / 2027,259,true,2026-09-12,2027-09-04,51,51,https://prestige.hfs.bookings.basepms.com/?city=Leeds&property=26+Great+George+Street&roomType=Premium+Studio&tenancyLength=51+weeks&academicYear=2026+%2F+2027,2026-06-24T10:06:21.000000Z,
Prestige Student Living,26 Great George Street,Leeds,Premium Studio,5,2026-07-01T19:18:30Z,5897,26 Great George Street - Premium Studio - V1 - 26/27 - 12/09 - 45wk 2026,2026 / 2027,269,true,2026-09-12,2027-07-24,45,45,https://prestige.hfs.bookings.basepms.com/?city=Leeds&property=26+Great+George+Street&roomType=Premium+Studio&tenancyLength=45+weeks&academicYear=2026+%2F+2027,2026-06-24T10:06:26.000000Z,
Prestige Student Living,26 Great George Street,Leeds,Premium Studio,5,2026-07-01T19:18:30Z,5064,26 Great George Street - Premium Studio - 26/27 - 12/09 - 45wk 2026,2026 / 2027,0,true,2026-09-12,2027-07-24,45,45,https://prestige.hfs.bookings.basepms.com/?city=Leeds&property=26+Great+George+Street&roomType=Premium+Studio&tenancyLength=45+weeks&academicYear=2026+%2F+2027,2026-06-24T10:06:25.000000Z,
Prestige Student Living,26 Great George Street,Leeds,Superior Mezzanine Studio,3,2026-07-01T19:18:30Z,700,26 Great George Street - Superior Mezzanine Studio - 25/26 - 28/02 - 21wk 2026,2025 / 2026,345,true,2026-02-28,2026-07-25,21,3,https://prestige.hfs.bookings.basepms.com/?city=Leeds&property=26+Great+George+Street&roomType=Superior+Mezzanine+Studio&tenancyLength=21+weeks&academicYear=2025+%2F+2026,2026-06-24T10:06:16.000000Z,
Prestige Student Living,26 Great George Street,Leeds,Superior Mezzanine Studio,3,2026-07-01T19:18:30Z,5055,26 Great George Street - Superior Mezzanine Studio - 25/26 - 28/02 - 26wk 2026,2025 / 2026,0,true,2026-02-28,2026-08-29,26,8,https://prestige.hfs.bookings.basepms.com/?city=Leeds&property=26+Great+George+Street&roomType=Superior+Mezzanine+Studio&tenancyLength=26+weeks&academicYear=2025+%2F+2026,2026-06-24T10:06:20.000000Z,
Prestige Student Living,26 Great George Street,Leeds,Superior Mezzanine Studio,3,2026-07-01T19:18:30Z,701,26 Great George Street - Super Mezzanine Studio - 26/27 - 12/09 - 51wk 2026,2026 / 2027,345,true,2026-09-12,2027-09-04,51,51,https://prestige.hfs.bookings.basepms.com/?city=Leeds&property=26+Great+George+Street&roomType=Superior+Mezzanine+Studio&tenancyLength=51+weeks&academicYear=2026+%2F+2027,2026-06-24T10:06:21.000000Z,
Prestige Student Living,33 Parkside,Coventry,Classic 2 Bed Apartment,1,2026-07-01T19:18:30Z,2032,33 Parkside - Classic 2 Bed Apartment - 26/27 - 05/09 - 51wk 2026,2026 / 2027,165,true,2026-09-05,2027-08-28,51,51,https://prestige.hfs.bookings.basepms.com/?city=Coventry&property=33+Parkside&roomType=Classic+2+Bed+Apartment&tenancyLength=51+weeks&academicYear=2026+%2F+2027,2026-06-24T10:06:23.000000Z,
Prestige Student Living,33 Parkside,Coventry,Deluxe 2 Bed Apartment,3,2026-07-01T19:18:30Z,2041,33 Parkside - Deluxe 2 Bed Apartment - 25/26 - 28/02 - 27wk 2026,2025 / 2026,0,true,2026-02-28,2026-09-05,27,9,https://prestige.hfs.bookings.basepms.com/?city=Coventry&property=33+Parkside&roomType=Deluxe+2+Bed+Apartment&tenancyLength=27+weeks&academicYear=2025+%2F+2026,2026-06-24T10:06:17.000000Z,
Prestige Student Living,33 Parkside,Coventry,Deluxe 2 Bed Apartment,3,2026-07-01T19:18:30Z,2042,33 Parkside - Deluxe 2 Bedroom Apartment - 26/27 - 05/09 - 51wk 2026,2026 / 2027,175,true,2026-09-05,2027-08-28,51,51,https://prestige.hfs.bookings.basepms.com/?city=Coventry&property=33+Parkside&roomType=Deluxe+2+Bed+Apartment&tenancyLength=51+weeks&academicYear=2026+%2F+2027,2026-06-24T10:06:23.000000Z,
Prestige Student Living,33 Parkside,Coventry,Deluxe 2 Bed Apartment,3,2026-07-01T19:18:30Z,2043,33 Parkside - Deluxe 2 Bedroom Apartment - 26/27 - 05/09 - 44wk 2026,2026 / 2027,182,true,2026-09-05,2027-07-10,44,44,https://prestige.hfs.bookings.basepms.com/?city=Coventry&property=33+Parkside&roomType=Deluxe+2+Bed+Apartment&tenancyLength=44+weeks&academicYear=2026+%2F+2027,2026-06-24T10:06:23.000000Z,
Prestige Student Living,33 Parkside,Coventry,Deluxe Studio,2,2026-07-01T19:18:30Z,2030,33 Parkside - Deluxe Studio - 26/27 - 05/09 - 51wk 2026,2026 / 2027,189,true,2026-09-05,2027-08-28,51,51,https://prestige.hfs.bookings.basepms.com/?city=Coventry&property=33+Parkside&roomType=Deluxe+Studio&tenancyLength=51+weeks&academicYear=2026+%2F+2027,2026-06-24T10:06:23.000000Z,
Prestige Student Living,33 Parkside,Coventry,Deluxe Studio,2,2026-07-01T19:18:30Z,5669,33 Parkside - Deluxe Studio - 25/26 - 06/09 - 51wk 2025,2025 / 2026,196,true,2025-09-06,2026-08-29,51,8,https://prestige.hfs.bookings.basepms.com/?city=Coventry&property=33+Parkside&roomType=Deluxe+Studio&tenancyLength=51+weeks&academicYear=2025+%2F+2026,2026-06-24T10:06:26.000000Z,2026-05-20T10:43:38.000000Z
Prestige Student Living,33 Parkside,Coventry,Deluxe Studio Plus,1,2026-07-01T19:18:30Z,2040,33 Parkside - Deluxe Studio Plus - 26/27 - 05/09 - 51wk 2026,2026 / 2027,225,true,2026-09-05,2027-08-28,51,51,https://prestige.hfs.bookings.basepms.com/?city=Coventry&property=33+Parkside&roomType=Deluxe+Studio+Plus&tenancyLength=51+weeks&academicYear=2026+%2F+2027,2026-06-24T10:06:23.000000Z,
Prestige Student Living,33 Parkside,Coventry,Mezzanine Studio,1,2026-07-01T19:18:30Z,2055,33 Parkside - Mezzanine Studio - 26/27 - 05/09 - 51wk 2026,2026 / 2027,325,true,2026-09-05,2027-08-28,51,51,https://prestige.hfs.bookings.basepms.com/?city=Coventry&property=33+Parkside&roomType=Mezzanine+Studio&tenancyLength=51+weeks&academicYear=2026+%2F+2027,2026-06-24T10:06:23.000000Z,
Prestige Student Living,33 Parkside,Coventry,Parkside Studio,1,2026-07-01T19:18:30Z,2056,33 Parkside - Parkside Studio - 26/27 - 05/09 - 51wk 2026,2026 / 2027,220,true,2026-09-05,2027-08-28,51,51,https://prestige.hfs.bookings.basepms.com/?city=Coventry&property=33+Parkside&roomType=Parkside+Studio&tenancyLength=51+weeks&academicYear=2026+%2F+2027,2026-06-24T10:06:23.000000Z,
Prestige Student Living,33 Parkside,Coventry,Premium 2 Bed Apartment,2,2026-07-01T19:18:30Z,2034,33 Parkside - Premium 2 Bed Apartment - 26/27 - 05/09 - 51wk 2026,2026 / 2027,175,true,2026-09-05,2027-08-28,51,51,https://prestige.hfs.bookings.basepms.com/?city=Coventry&property=33+Parkside&roomType=Premium+2+Bed+Apartment&tenancyLength=51+weeks&academicYear=2026+%2F+2027,2026-06-24T10:06:23.000000Z,
Prestige Student Living,33 Parkside,Coventry,Premium 2 Bed Apartment,2,2026-07-01T19:18:30Z,2033,33 Parkside - Premium 2 Bed Apartment - 25/26 - 28/02 - 27wk 2026,2025 / 2026,182,true,2026-02-28,2026-09-05,27,9,https://prestige.hfs.bookings.basepms.com/?city=Coventry&property=33+Parkside&roomType=Premium+2+Bed+Apartment&tenancyLength=27+weeks&academicYear=2025+%2F+2026,2026-06-24T10:06:17.000000Z,
Prestige Student Living,33 Parkside,Coventry,Premium Mezzanine Studio,1,2026-07-01T19:18:30Z,2036,33 Parkside - Premium Mezzanine Studio - 26/27 - 05/09 - 51wk 2026,2026 / 2027,345,true,2026-09-05,2027-08-28,51,51,https://prestige.hfs.bookings.basepms.com/?city=Coventry&property=33+Parkside&roomType=Premium+Mezzanine+Studio&tenancyLength=51+weeks&academicYear=2026+%2F+2027,2026-06-24T10:06:23.000000Z,
Prestige Student Living,33 Parkside,Coventry,Premium Studio,3,2026-07-01T19:18:30Z,5041,33 Parkside - Premium Studio - 26/27 - 05/09 - 45wk 2026,2026 / 2027,206,true,2026-09-05,2027-07-17,45,45,https://prestige.hfs.bookings.basepms.com/?city=Coventry&property=33+Parkside&roomType=Premium+Studio&tenancyLength=45+weeks&academicYear=2026+%2F+2027,2026-06-24T10:06:25.000000Z,
Prestige Student Living,33 Parkside,Coventry,Premium Studio,3,2026-07-01T19:18:30Z,2038,33 Parkside - Premium Studio - 26/27 - 05/09 - 51wk 2026,2026 / 2027,199,true,2026-09-05,2027-08-28,51,51,https://prestige.hfs.bookings.basepms.com/?city=Coventry&property=33+Parkside&roomType=Premium+Studio&tenancyLength=51+weeks&academicYear=2026+%2F+2027,2026-06-24T10:06:23.000000Z,
Prestige Student Living,33 Parkside,Coventry,Premium Studio,3,2026-07-01T19:18:30Z,2037,33 Parkside - Premium Studio - 25/26 - 28/02 - 27wk 2026,2025 / 2026,0,true,2026-02-28,2026-09-05,27,9,https://prestige.hfs.bookings.basepms.com/?city=Coventry&property=33+Parkside&roomType=Premium+Studio&tenancyLength=27+weeks&academicYear=2025+%2F+2026,2026-06-24T10:06:17.000000Z,
Prestige Student Living,33 Parkside,Coventry,Super Deluxe Studio,1,2026-07-01T19:18:30Z,2057,33 Parkside - Super Deluxe Studio - 26/27 - 05/09 - 51wk 2026,2026 / 2027,219,true,2026-09-05,2027-08-28,51,51,https://prestige.hfs.bookings.basepms.com/?city=Coventry&property=33+Parkside&roomType=Super+Deluxe+Studio&tenancyLength=51+weeks&academicYear=2026+%2F+2027,2026-06-24T10:06:24.000000Z,
Prestige Student Living,79 Silver Street,Reading,Classic Studio,2,2026-07-01T19:18:30Z,2000,79 Silver Street - Classic Studio - 26/27 - 12/09 - 51wk 2026,2026 / 2027,318,true,2026-09-12,2027-09-04,51,51,https://prestige.hfs.bookings.basepms.com/?city=Reading&property=79+Silver+Street&roomType=Classic+Studio&tenancyLength=51+weeks&academicYear=2026+%2F+2027,2026-06-24T10:06:22.000000Z,
Prestige Student Living,79 Silver Street,Reading,Classic Studio,2,2026-07-01T19:18:30Z,2001,79 Silver Street - Classic Studio - 26/27 - 12/09 - 44wk 2026,2026 / 2027,328,true,2026-09-12,2027-07-17,44,44,https://prestige.hfs.bookings.basepms.com/?city=Reading&property=79+Silver+Street&roomType=Classic+Studio&tenancyLength=44+weeks&academicYear=2026+%2F+2027,2026-06-24T10:06:22.000000Z,
Prestige Student Living,79 Silver Street,Reading,Deluxe Studio,2,2026-07-01T19:18:30Z,2004,79 Silver Street - Deluxe Studio - 26/27 - 12/09 - 51wk 2026,2026 / 2027,360,true,2026-09-12,2027-09-04,51,51,https://prestige.hfs.bookings.basepms.com/?city=Reading&property=79+Silver+Street&roomType=Deluxe+Studio&tenancyLength=51+weeks&academicYear=2026+%2F+2027,2026-06-24T10:06:22.000000Z,
Prestige Student Living,79 Silver Street,Reading,Deluxe Studio,2,2026-07-01T19:18:30Z,2005,79 Silver Street - Deluxe Studio - 26/27 - 12/09 - 44wk 2026,2026 / 2027,370,true,2026-09-12,2027-07-17,44,44,https://prestige.hfs.bookings.basepms.com/?city=Reading&property=79+Silver+Street&roomType=Deluxe+Studio&tenancyLength=44+weeks&academicYear=2026+%2F+2027,2026-06-24T10:06:22.000000Z,
Prestige Student Living,79 Silver Street,Reading,Premium Double Apartment,1,2026-07-01T19:18:30Z,2007,79 Silver Street - Premium Double Apartment - 26/27 - 12/09 - 51wk 2026,2026 / 2027,415,true,2026-09-12,2027-09-04,51,51,https://prestige.hfs.bookings.basepms.com/?city=Reading&property=79+Silver+Street&roomType=Premium+Double+Apartment&tenancyLength=51+weeks&academicYear=2026+%2F+2027,2026-06-24T10:06:22.000000Z,
Prestige Student Living,79 Silver Street,Reading,Premium Studio,2,2026-07-01T19:18:30Z,2002,79 Silver Street - Premium Studio - 26/27 - 12/09 - 51wk 2026,2026 / 2027,328,true,2026-09-12,2027-09-04,51,51,https://prestige.hfs.bookings.basepms.com/?city=Reading&property=79+Silver+Street&roomType=Premium+Studio&tenancyLength=51+weeks&academicYear=2026+%2F+2027,2026-06-24T10:06:22.000000Z,
Prestige Student Living,79 Silver Street,Reading,Premium Studio,2,2026-07-01T19:18:30Z,2003,79 Silver Street - Premium Studio - 26/27 - 12/09 - 44wk 2026,2026 / 2027,338,true,2026-09-12,2027-07-17,44,44,https://prestige.hfs.bookings.basepms.com/?city=Reading&property=79+Silver+Street&roomType=Premium+Studio&tenancyLength=44+weeks&academicYear=2026+%2F+2027,2026-06-24T10:06:22.000000Z,
Prestige Student Living,79 Silver Street,Reading,Super Deluxe Studio,1,2026-07-01T19:18:30Z,2006,79 Silver Street - Super Deluxe Studio - 26/27 - 12/09 - 51wk 2026,2026 / 2027,370,true,2026-09-12,2027-09-04,51,51,https://prestige.hfs.bookings.basepms.com/?city=Reading&property=79+Silver+Street&roomType=Super+Deluxe+Studio&tenancyLength=51+weeks&academicYear=2026+%2F+2027,2026-06-24T10:06:23.000000Z,
Homes for Students,8 Roxburgh,Edinburgh,Classic Room,3,2026-07-01T19:18:30Z,2068,8 Roxburgh - Classic Room - 25/26 - 28/02 - 26wk 2026,2025 / 2026,0,true,2026-02-28,2026-08-29,26,8,https://hfs.bookings.basepms.com/?city=Edinburgh&property=8+Roxburgh&roomType=Classic+Room&tenancyLength=26+weeks&academicYear=2025+%2F+2026,2026-06-24T10:06:16.000000Z,
Homes for Students,8 Roxburgh,Edinburgh,Classic Room,3,2026-07-01T19:18:30Z,5311,8 Roxburgh - Classic Room - 26/27 - 05/09 - 44wk 2026,2026 / 2027,225,true,2026-09-05,2027-07-10,44,44,https://hfs.bookings.basepms.com/?city=Edinburgh&property=8+Roxburgh&roomType=Classic+Room&tenancyLength=44+weeks&academicYear=2026+%2F+2027,2026-06-24T10:06:26.000000Z,
Homes for Students,8 Roxburgh,Edinburgh,Classic Room,3,2026-07-01T19:18:30Z,5310,8 Roxburgh - Classic Room - 26/27 - 05/09 - 51wk 2026,2026 / 2027,215,true,2026-09-05,2027-08-28,51,51,https://hfs.bookings.basepms.com/?city=Edinburgh&property=8+Roxburgh&roomType=Classic+Room&tenancyLength=51+weeks&academicYear=2026+%2F+2027,2026-06-24T10:06:26.000000Z,
Homes for Students,8 Roxburgh,Edinburgh,Premium Room,1,2026-07-01T19:18:30Z,5312,8 Roxburgh - Premium Room - 26/27 - 05/09 - 51wk 2026,2026 / 2027,225,true,2026-09-05,2027-08-28,51,51,https://hfs.bookings.basepms.com/?city=Edinburgh&property=8+Roxburgh&roomType=Premium+Room&tenancyLength=51+weeks&academicYear=2026+%2F+2027,2026-06-24T10:06:26.000000Z,
Homes for Students,8 Roxburgh,Edinburgh,Standard Room,1,2026-07-01T19:18:30Z,5309,8 Roxburgh - Standard Room - 26/27 - 05/09 - 51wk 2026,2026 / 2027,210,true,2026-09-05,2027-08-28,51,51,https://hfs.bookings.basepms.com/?city=Edinburgh&property=8+Roxburgh&roomType=Standard+Room&tenancyLength=51+weeks&academicYear=2026+%2F+2027,2026-06-24T10:06:26.000000Z,
Prestige Student Living,800 Bristol Road,Birmingham,Classic Studio,1,2026-07-01T19:18:30Z,2083,800 Bristol Road -Classic Studio - 26/27 - 05/09 - 51wk 2026,2026 / 2027,0,true,2026-09-05,2027-08-28,51,51,https://prestige.hfs.bookings.basepms.com/?city=Birmingham&property=800+Bristol+Road&roomType=Classic+Studio&tenancyLength=51+weeks&academicYear=2026+%2F+2027,2026-06-24T10:06:23.000000Z,
