brand_name,property,city,room_type,available_contracts,contract_title,academic_year,price_pw,currency_symbol,available,start_date,end_date,contract_length_weeks,base_hub_url
Prestige Student Living,26 Great George Street,Leeds,Premium Studio,5,26 Great George Street - Premium Studio - V1 - 26/27 - 12/09 - 45wk 2026,2026 / 2027,0,£,True,2026-09-12,2027-07-24,45,https://prestige.hfs.bookings.basepms.com/?city=Leeds&property=26+Great+George+Street&roomType=Premium+Studio&tenancyLength=45+weeks&academicYear=2026+%2F+2027
Prestige Student Living,26 Great George Street,Leeds,Superior Mezzanine Studio,3,26 Great George Street - Superior Mezzanine Studio - 25/26 - 28/02 - 26wk 2026,2025 / 2026,0,£,True,2026-02-28,2026-08-29,26,https://prestige.hfs.bookings.basepms.com/?city=Leeds&property=26+Great+George+Street&roomType=Superior+Mezzanine+Studio&tenancyLength=26+weeks&academicYear=2025+%2F+2026
Prestige Student Living,26 Great George Street,Leeds,Superior Mezzanine Studio,3,26 Great George Street - Superior Mezzanine Studio - 25/26 - 28/02 - 21wk 2026,2025 / 2026,345,£,True,2026-02-28,2026-07-25,21,https://prestige.hfs.bookings.basepms.com/?city=Leeds&property=26+Great+George+Street&roomType=Superior+Mezzanine+Studio&tenancyLength=21+weeks&academicYear=2025+%2F+2026
Prestige Student Living,26 Great George Street,Leeds,Superior Mezzanine Studio,3,26 Great George Street - Super Mezzanine Studio - 26/27 - 12/09 - 51wk 2026,2026 / 2027,345,£,True,2026-09-12,2027-09-04,51,https://prestige.hfs.bookings.basepms.com/?city=Leeds&property=26+Great+George+Street&roomType=Superior+Mezzanine+Studio&tenancyLength=51+weeks&academicYear=2026+%2F+2027
Prestige Student Living,33 Parkside,Coventry,Classic 2 Bed Apartment,1,33 Parkside - Classic 2 Bed Apartment - 26/27 - 05/09 - 51wk 2026,2026 / 2027,165,£,True,2026-09-05,2027-08-28,51,https://prestige.hfs.bookings.basepms.com/?city=Coventry&property=33+Parkside&roomType=Classic+2+Bed+Apartment&tenancyLength=51+weeks&academicYear=2026+%2F+2027
Prestige Student Living,33 Parkside,Coventry,Deluxe 2 Bed Apartment,3,33 Parkside - Deluxe 2 Bed Apartment - 25/26 - 28/02 - 27wk 2026,2025 / 2026,0,£,True,2026-02-28,2026-09-05,27,https://prestige.hfs.bookings.basepms.com/?city=Coventry&property=33+Parkside&roomType=Deluxe+2+Bed+Apartment&tenancyLength=27+weeks&academicYear=2025+%2F+2026
Prestige Student Living,33 Parkside,Coventry,Deluxe 2 Bed Apartment,3,33 Parkside - Deluxe 2 Bedroom Apartment - 26/27 - 05/09 - 51wk 2026,2026 / 2027,175,£,True,2026-09-05,2027-08-28,51,https://prestige.hfs.bookings.basepms.com/?city=Coventry&property=33+Parkside&roomType=Deluxe+2+Bed+Apartment&tenancyLength=51+weeks&academicYear=2026+%2F+2027
Prestige Student Living,33 Parkside,Coventry,Deluxe 2 Bed Apartment,3,33 Parkside - Deluxe 2 Bedroom Apartment - 26/27 - 05/09 - 44wk 2026,2026 / 2027,182,£,True,2026-09-05,2027-07-10,44,https://prestige.hfs.bookings.basepms.com/?city=Coventry&property=33+Parkside&roomType=Deluxe+2+Bed+Apartment&tenancyLength=44+weeks&academicYear=2026+%2F+2027
Prestige Student Living,33 Parkside,Coventry,Deluxe Studio,2,33 Parkside - Deluxe Studio - 26/27 - 05/09 - 51wk 2026,2026 / 2027,189,£,True,2026-09-05,2027-08-28,51,https://prestige.hfs.bookings.basepms.com/?city=Coventry&property=33+Parkside&roomType=Deluxe+Studio&tenancyLength=51+weeks&academicYear=2026+%2F+2027
Prestige Student Living,33 Parkside,Coventry,Deluxe Studio,2,33 Parkside - Deluxe Studio - 25/26 - 06/09 - 51wk 2025,2025 / 2026,196,£,True,2025-09-06,2026-08-29,51,https://prestige.hfs.bookings.basepms.com/?city=Coventry&property=33+Parkside&roomType=Deluxe+Studio&tenancyLength=51+weeks&academicYear=2025+%2F+2026
Prestige Student Living,33 Parkside,Coventry,Deluxe Studio Plus,1,33 Parkside - Deluxe Studio Plus - 26/27 - 05/09 - 51wk 2026,2026 / 2027,225,£,True,2026-09-05,2027-08-28,51,https://prestige.hfs.bookings.basepms.com/?city=Coventry&property=33+Parkside&roomType=Deluxe+Studio+Plus&tenancyLength=51+weeks&academicYear=2026+%2F+2027
Prestige Student Living,33 Parkside,Coventry,Mezzanine Studio,1,33 Parkside - Mezzanine Studio - 26/27 - 05/09 - 51wk 2026,2026 / 2027,325,£,True,2026-09-05,2027-08-28,51,https://prestige.hfs.bookings.basepms.com/?city=Coventry&property=33+Parkside&roomType=Mezzanine+Studio&tenancyLength=51+weeks&academicYear=2026+%2F+2027
Prestige Student Living,33 Parkside,Coventry,Parkside Studio,1,33 Parkside - Parkside Studio - 26/27 - 05/09 - 51wk 2026,2026 / 2027,220,£,True,2026-09-05,2027-08-28,51,https://prestige.hfs.bookings.basepms.com/?city=Coventry&property=33+Parkside&roomType=Parkside+Studio&tenancyLength=51+weeks&academicYear=2026+%2F+2027
Prestige Student Living,33 Parkside,Coventry,Premium 2 Bed Apartment,2,33 Parkside - Premium 2 Bed Apartment - 26/27 - 05/09 - 51wk 2026,2026 / 2027,175,£,True,2026-09-05,2027-08-28,51,https://prestige.hfs.bookings.basepms.com/?city=Coventry&property=33+Parkside&roomType=Premium+2+Bed+Apartment&tenancyLength=51+weeks&academicYear=2026+%2F+2027
